"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type","search_term"
"li-4432609496","linkedin","https://www.linkedin.com/jobs/view/4432609496","","Medical Affairs Specialist","Hoya Vision Care","Bologna, Emilia-Romagna, Italy","","","","","","","",False,"","","","","","","https://th.linkedin.com/company/hoya-vision-care","","","","","","","","","","","","","medical science liaison"
"li-4429469367","linkedin","https://www.linkedin.com/jobs/view/4429469367","","Scientific Advisor","Adecco","Bologna, Emilia-Romagna, Italy","2026-06-23","","","","","","",False,"","","","","","","https://ch.linkedin.com/company/adecco","","","","","","","","","","","","","medical liaison"
"li-4408880332","linkedin","https://www.linkedin.com/jobs/view/4408880332","","Global Regulatory Affairs Consultant","JSB Solutions","Sesto Fiorentino, Tuscany, Italy","2026-06-19","","","","","","",False,"","","","","","","https://it.linkedin.com/company/jsb-solutions-srl","","","","","","","","","","","","","scientific liaison"
"in-76455d4507649f17","indeed","https://it.indeed.com/viewjob?jk=76455d4507649f17","https://jobs.smartrecruiters.com/Gerresheimer/744000133943921-local-it-admin","Local IT Admin","Gerresheimer","Bergantino, VEN, IT","2026-06-24","fulltime","","","","","",True,"","","","","**Company Description**  

Founded in 1825, Bormioli Pharma has been a leading manufacturer of primary packaging for the pharmaceutical industry, offering complete solutions ranging from glass and plastic bottles to plastic and aluminum closures and accessories. As of December 2024, Bormioli Pharma has been fully integrated into the Gerresheimer Group and no longer operates as a standalone brand. Today, its portfolio, expertise, and capabilities continue within Gerresheimer, an innovative systems and solutions provider and a global partner to the pharma, biotech, and cosmetics sectors. The Group offers a comprehensive range of drug containment solutions, closures and accessories, drug delivery systems, medical devices, and health\-related solutions. Gerresheimer operates more than 40 production sites across 16 countries in Europe, the Americas, and Asia, and employs approximately 13,600 people worldwide. Discover all of Gerresheimer’s innovative solutions and stay up to date by visiting Gerresheimer’s website and LinkedIn page.

 **Job Description**  

This role is responsible for site IT supervision, resolving complex issues, and coordinating with central and application support teams.

* First\-level support and troubleshooting for ERP/SAP system users (user lock management, interface anomalies, printing/output spool issues); Active collaboration with the central SAP/ERP team.
* Diagnosis and resolution of critical or recurring system issues on operating systems (primarily Windows Client/Server and/or macOS).
* Supervision and routine maintenance of the local IT infrastructure (local servers, NAS devices, network equipment, backup systems).
* Initial diagnosis of local network outages or service disruptions (checking cables, switches, access points, internet connectivity) and basic restoration activities.
* Verification of the physical status of local servers and equipment (checking error LEDs, power supply) and provision of ""hands and feet"" support (remote\-guided on\-site activities) for central system administrators.

  

**Qualifications**  

* At least 8/10 years of experience in similar roles
* Knowledge of SAP ERP, business applications and software packages, Operating System (OS) Troubleshooting
* Fluent in English language

  

**Additional Information**  

Location: Bergantino (RO)


Annual Based Salary: 35\.000€ \- 45\.000€","Pharmaceuticals","https://it.indeed.com/cmp/Gerresheimer","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/75ea29e6f29bf810a5a3a2b8248ac9b9","http://www.gerresheimer.com/","Düsseldorf, Germany","10,000+","$1B to $5B (USD)","Gerresheimer is the global partner for pharmaceutics, biotech, healthcare, and cosmetics with a very broad product range for pharmaceutical and cosmetic packaging solutions and drug delivery systems.","","","","","","","medical information"
"in-e7a8c83e46713f8f","indeed","https://it.indeed.com/viewjob?jk=e7a8c83e46713f8f","https://cezanneondemand.intervieweb.it/annunci.php?l=accounting-specialist-62526&lang=it&d=indeed&LAC=lincotek","Accounting Specialist","LINCOTEK GROUP","Rubbiano, EMI, IT","2026-06-18","fulltime","","","","","",True,"","","","","**Lincotek,** headquartered in Rubbiano, Parma, Italy, is a global contract manufacturer for services in markets including Industrial Gas Turbines, Aerospace and Medical Device applications, as well as a leading manufacturer of industrial coating equipment and one of the most respected producers in the Additive Manufacturing field. The Group has more than 1,800 employees located in 18 production facilities across Europe, North America and Asia.  

  



  

**Posizione:**
--------------

### **ABOUT THE JOB**


We are seeking an experienced **Accounting Specialist** to join a leading services company operating within the industrial sector. The successful candidate will be responsible for managing day\-to\-day accounting operations, ensuring compliance with financial regulations, and supporting the accurate preparation of financial records and reports.

### **MAIN RESPONSABILITIES:**


Drive monthly, quarterly, and year\-end closing processes


Manage budget and forecast activities


Book accruals and perform intercompany accounts reconciliations for the month\-end closing


Prepare and maintain financial reports


Lease with external auditors


Book accruals and perform intercompany accounts reconciliations for the month\-end closing (e.g. inventory, personnel cost, provisions, interests etc)


Provide support for other administrative tasks as requested


Ensure the accuracy and integrity of accounting data and transactions


Partner with internal departments to gather and validate financial information required for accounting and reporting activities


Contribute to process improvement initiatives aimed at enhancing efficiency, accuracy, and compliance within the finance function


Collaborate with key stakeholders to ensure smooth execution of accounting and administrative processes

**Requisiti:**
--------------

### **EDUCATION AND/OR SKILLS:**


Bachelor’s degree in accounting, Finance, Economics, or a related field.


4–5 years of proven experience in accounting or finance\-related roles, ideally in financial reporting and monthly closing.


Strong knowledge of general accounting principles.


Proficiency in the use of SAP (mandatory).


Experience with financial reporting tools (e.g. Board).


Excellent attention to detail, analytical skills, and problem\-solving abilities.


Strong organizational skills with the ability to manage multiple priorities and meet deadlines.


Team\-oriented mindset with excellent communication and stakeholder management skills.


Fluency in English (B2 level or equivalent) is required.

### **SUPERVISORY RESPONSABILITY:**


Not applicable.

**Altre informazioni:**
-----------------------

### **WORK ENVIRONMENT:**


This job operates in both an office environment and a manufacturing environment. The role routinely uses standard office equipment, such as computes, phones. The individual will be required to adhere to safety policies and procedures on the manufacturing floor.

### **PHYSICAL DEMAND:**


While performing the duties of this job, the employee is regularly required to talk or hear. The employee is frequently required to stand, walk, use hands to finger, handle or feel and reach with hands and arms.

### **POSITION TYPE/EXPECTED HOURS OF WORK:**


This is a full\-time position, Monday through Friday 8am to 5\.30pm, with additional hours as business needs necessitate. Hybrid working model with up to 2 remote working days per week.

### **TRAVEL**


Occasional overseas and domestic travel may be required to support the rapid growth of the company.


Lincotek provides equal employment opportunity to all individuals regardless of their race, color, creed, religion, gender, age, sexual orientation, national origin, disability, veteran status, or any other characteristic protected by state, federal, or local law.","","https://it.indeed.com/cmp/Lincotek-Group","","","","","","","","","","","","","medical information"
"li-4392674060","linkedin","https://www.linkedin.com/jobs/view/4392674060","","Regulatory Affairs Specialist - Energy","Gruppo Hera","Bologna, Emilia-Romagna, Italy","2026-06-18","","","","","","",False,"","","","","","","https://it.linkedin.com/company/gruppo-hera","","","","","","","","","","","","","pharmacovigilance"
