"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type","search_term"
"li-4402263110","linkedin","https://www.linkedin.com/jobs/view/4402263110","","Quality Assurance Manager (Medical Devices) - fixed term contract","Jefferson Wells Italia","Rome, Latium, Italy","","","","","","","",False,"","","","","","","https://it.linkedin.com/company/jeffersonwells-italia","","","","","","","","","","","","","medical liaison"
"in-465be219c2446e43","indeed","https://it.indeed.com/viewjob?jk=465be219c2446e43","https://pharmanovia.com/job/brand-specialist-2/","Brand Specialist – Italy","Pharmanovia","Roma, LAZ, IT","2026-04-09","","","","","","",False,"","","","","**Rome, Latium, Italy (Hybrid role: 3 days office, 2 days home per week)**


**About the Company**


Pharmanovia is a fast\-growing global speciality pharmaceutical company with a portfolio of over 20 brands across more than 160 markets. Our mission is to improve patient health globally by revitalising niche, trusted medicines across our core therapeutic areas: Cardiovascular, Oncology, Endocrinology and Neurology. With over 300 employees across 29 nationalities and offices in Europe, the Middle East, Asia, and Australia, we are committed to quality, innovation, and the responsible management of the lifecycle of established medicines.


**About the Role**


As a Brand Specialist supporting product launches in Southern Europe, you will focus on Italy and Spain, working closely with internal teams to foster a collaborative environment and ensure successful launches.


**Responsibilities**


**Product Launch Support:**


* Act as the primary regional marketing lead for Italy and Spain, aligning global strategy with local market needs.
* Plan and execute global product launches, contributing market insights and competitive intelligence to inform brand strategy.
* Coordinate launch readiness activities to meet timelines and deliverables.
* Represent local market needs in regional meetings.
* Execute the tactical delivery, localisation, and execution of global brand plans across all channels.


**Promotional Materials and Programs:**


* Adapt and localise promotional materials in line with global guidelines.
* Develop local brand plans and support key tactical initiatives (e.g., sales tools, digital programs, events).
* Validate key product messages for effective localisation.
* Manage the asset approvals and compliance process in line with regulatory requirements (e.g., AIFA/EFPIA guidance).
* Collaborate with external agencies to develop and print materials.


**Sales Force Excellence:**


* Collaborate with General Managers and Commercial teams to implement local marketing strategies.
* Develop training tools and assist with training presentations.
* Ensure field teams are effectively equipped and serve as the primary point of contact for feedback and material requests.
* Monitor material performance and share insights to support optimised execution.


**Cross\-Functional Collaboration:**


* Work closely with global marketing, medical affairs, market access, and regional commercial teams on a range of marketing projects.
* Maintain high\-level disease knowledge and credibility with physicians.
* Attend local congresses and support KOL interactions in collaboration with Medical Affairs.
* Communicate updates to Global Marketing and share best practices with other brand managers.


**Qualifications**


* Bachelor’s degree in a relevant field (e.g., life sciences, business, marketing); advanced degree preferred.
* Minimum 3 years of experience in commercial functions, with 1\-3 years in an EU operational marketing role.
* Proven competence in various marketing activities, including traditional and digital.
* Experience in submitting compliant promotional materials to AIFA.
* Basic understanding of medical aspects in the therapeutic area, with a willingness to gain in\-depth expertise.
* Professional level in English (oral and written).
* Professional level in Italian and/or Spanish
* We would welcome anyone based in Italy, Spain, or the UK.
* Excellent user of Microsoft Office (Word, Excel, PowerPoint).


**Why Join Us?**


At Pharmanovia, you will join a global speciality pharma company that values quality and offers clear career paths, training, and international mobility to support your professional growth.


**Equal Opportunity Statement**


Pharmanovia is an equal\-opportunity employer. Pharmanovia does not unlawfully discriminate against employees or applicants for employment based on an individual’s race, colour, religion, creed, sex, sexual orientation, gender identity or expression, national origin, genetic information, age, disability, marital status or any other status protected by applicable law. This policy applies to all terms, conditions, and privileges of employment, including recruitment, hiring, placement, compensation, promotion, discipline, and termination. Pharmanovia will make reasonable accommodation for qualified individuals with known disabilities, in accordance with applicable law.","","https://it.indeed.com/cmp/Pharmanovia","","","","","","","","","","","","","medical affairs"
"in-17fa5243d9394534","indeed","https://it.indeed.com/viewjob?jk=17fa5243d9394534","https://jobs.kenvue.com/r-d-deployment-senior-scientist-translational-science-claims-excellence/job/DC77DEAA52E165FAB448EF1E16FAAB36","R&D Deployment Senior Scientist, Translational Science & Claims Excellence","Kenvue","Pomezia, LAZ, IT","2026-04-09","","","","","","",False,"","","","","Kenvue is currently recruiting for a:


R\&D Deployment Senior Scientist, Translational Science \& Claims Excellence**What we do**


At Kenvue, we realize the extraordinary power of everyday care. Built on over a century of heritage and rooted in science, we’re the house of iconic brands \- including NEUTROGENA®, AVEENO®, TYLENOL®, LISTERINE®, JOHNSON’S® and BAND\-AID® that you already know and love. Science is our passion; care is our talent.

**Who We Are**


Our global team is \~ 22,000 brilliant people with a workplace culture where every voice matters, and every contribution is appreciated. We are passionate about insights, innovation and committed to delivering the best products to our customers. With expertise and empathy, being a Kenvuer means having the power to impact millions of people every day. We put people first, care fiercely, earn trust with science and solve with courage – and have brilliant opportunities waiting for you! Join us in shaping our future–and yours.

**Role reports to:**


EMEA Translational Science RD Director**Location:**


Europe/Middle East/Africa, Italy, Lazio, Rome**Work Location:**


Hybrid**What you will do**


Kenvue is currently recruiting for:

**R\&D Deployment Senior Scientist, Translational Science \& Claims Excellence**


This position is based in Pomezia Santa Palomba (Rome).

**What you will do**

**Key Responsibilities:**


Serve as a member of the EMEA Translational Science Claims Excellence team dedicated to the deployment of the claim’s strategy and execution of claim roadmaps and creative claims support strategies for new product or projects, supporting cross\-functionally across R\&D subject matter experts (consumer science, product design, medical affairs, regulatory affairs and others).

* Play a claims subject matter role in understanding the relevant science to provide support and translations to strengthen claims and or science storytelling to cross\-functional and project teams.
* Communicate and translate scientific and technical knowledge for consumer\-facing and healthcare professional message deployment.
* Deploy strategies, study synopsis, and partner with clinical operations for execution of clinical studies to substantiate claims.
* Participate on regional, cross functional teams for execution of new product ideas and project implementation, providing support and ensuring timeline adherence and project completion of claims approvals and corresponding studies.
* Champion the Kenvue Human Centered Innovation mindset, claims process and claims system.

*This position requires travel up to 10%.*

**What We’re Looking For:**

**Required Qualifications:**

* Education: Bachelor's degree with at least 3 years or Master’s/PhD degree with 2\+ years of Consumer/Skin Health (or equivalent) industry and/or relevant work experience. Education to include scientific fields such as health sciences, biology, chemistry, engineering, sensory, or cosmetic science is preferred.
* Experience in developing compelling claims \& communication strategies and translating scientific evidence into robust claims substantiation.
* Must have ability and flexibility to work in a global environment.
* Ability to collaborate, influence, manage routine processes, consider measured risks, and make decisions to drive project progress are critical components of the role.
* Must be able to work independently, think analytically, manage multiple complex tasks, while also being highly meticulous and organized.
* The ability to work in a matrix environment with cross\-functional teams and have excellent verbal and written communication skills is essential..

**What’s in it for you**

* Competitive Benefit Package
* Learning \& Development Opportunities
* Kenvuer Impact Networks


Kenvue is proud to be an Equal Opportunity Employer. All qualified applicants will receive consideration for employment based on merit without regard to race, color, religion, sex, sexual orientation, gender identity, age, national origin, or protected veteran status and will not be discriminated against on the basis of disability.


If you are an individual with a disability, please check our Disability Assistance page for information on how to request an accommodation.","","https://it.indeed.com/cmp/Kenvue-1","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/90047e09e7ef26d5388996189333ef37","http://kenvue.com/careers","1 Kenvue Way, Summit, NJ 07901","10,000+","","A new view of care 🤍#WeAreKenvue​","","","","","","","medical affairs"
"li-4325641379","linkedin","https://www.linkedin.com/jobs/view/4325641379","","Experienced CRA, Sponsor Dedicated - Italy","IQVIA","Rome, Latium, Italy","2026-04-09","","","","","","",False,"","","","","","","https://www.linkedin.com/company/iqvia","","","","","","","","","","","","","medical affairs"
"li-4401465916","linkedin","https://www.linkedin.com/jobs/view/4401465916","","Clinical Research Associate - Italy - Remote","Worldwide Clinical Trials","Rome, Latium, Italy","","","","","","","",True,"","","","","","","https://www.linkedin.com/company/worldwide-clinical-trials-inc-","","","","","","","","","","","","","medical affairs"
"li-4389187615","linkedin","https://www.linkedin.com/jobs/view/4389187615","","Senior CRA","Thermo Fisher Scientific","Rome, Latium, Italy","","","","","","","",False,"","","","","","","https://www.linkedin.com/company/thermo-fisher-scientific","","","","","","","","","","","","","medical affairs"
"in-02db06ca986459cd","indeed","https://it.indeed.com/viewjob?jk=02db06ca986459cd","http://it.indeed.com/job/bid-commercial-coordinator-02db06ca986459cd","Bid & Commercial Coordinator","Avincis","Ciampino, LAZ, IT","2026-04-14","fulltime","","","","","",False,"","","","","Avincis is one of the world’s leading Emergency Aerial Service Operators and the largest in Europe. We operate from more than 180 bases across Spain, Portugal, Italy, Norway, Sweden, Finland, Greece, Mozambique and Chile. We operate a fleet of approximately 205 aircraft which includes 165 helicopters and 40 aeroplanes.

We oversee our global operations from Lisboa, Portugal and count on a team of more than 2,400 courageous and talented professionals, including pilots, crews, technicians and support teams to deliver this unique service.

In Italy we have 42 Operational Bases, approximately 742 dedicated personnel and approximately 64 aircraft. We provide Helicopter Emergency Medical Services (HEMS), Search and Rescue (SAR), Firefighting (FF) Offshore and Maintenance Repair and Overhaul (MRO)

For our Italian branch, we are looking for a **Bid \& Commercial coordinator**, who will support the Bid Manager and the HEMS Commercial Manager in bid and contract management activities. The position offers opportunities for professional growth through increasing autonomy, responsibility, and accountability over time.

**Key Responsibilities**

* Monitor market surveys and tender/bid publications on a regular basis
* Ensure the timely distribution of bid documentation to all relevant stakeholders
* Support the Bid Manager in the preparation of bid\-related meetings (e.g. Kick\-off, Daily Check\-ins, Governance reviews)
* Contribute to bid competitiveness analyses and economic evaluations in collaboration with key stakeholders
* Support the timely and accurate preparation of complete bid packages, including administrative, technical, and commercial documentation
* Ensure contract requirements are clearly communicated, properly understood, and implemented by key stakeholders
* Support the HEMS Commercial Manager in managing and continuously improving customer relationships
* Monitor and track contract performance (e.g. financial, operational) through defined KPIs
* Contribute to contract performance continuous improvement initiatives through planning, control actions, and adherence to project management standards
* Prepare periodic and ad hoc contract performance reports

**Qualifications, Experience \& Skills:**

* Bachelor’s degree preferred in Engineering, Business Administration, Economics, or a related field
* At least 3 years of experience in bid and contract management, preferably involving government or public sector tenders
* Strong proficiency in the Microsoft Office Suite, including Excel
* Strong analytical and problem solving skills
* Proficiency in spoken and written Italian and English
* Excellent communication and interpersonal skills
* Highly structured, detail oriented, and data focused approach combined with a proactive attitude.
* Demonstrated ability to work under pressure and manage tight deadlines.

**Preferred Skills:**

* Previous experience in the aeronautical/aerospace/defence industry

*This job posting is open to all genders, in accordance with Laws 903/77 and 125/91, and to individuals of all ages and nationalities, pursuant to Legislative Decrees 215/03 and 216/03\.*

Job Type: Full\-time

Work Location: In person","","https://it.indeed.com/cmp/Avincis-1","","","","","","","","","","","","","medical manager"
"in-a203ed51cfa03ea5","indeed","https://it.indeed.com/viewjob?jk=a203ed51cfa03ea5","https://jobs.iqvia.com/en/jobs/R1527162-8","Statistical Programmer (m/w/d)","IQVIA","Roma, LAZ, IT","2026-04-13","fulltime","","","","","",False,"","","","","Rome, Italy \| Full time \| Home\-based \| R1527162**Job available in additional locations**  

Overview
IQVIA provides scientific services spanning clinical trials, real world evidence, and consulting in all areas of the product lifecycle. IQVIA has two teams focused exclusively on amplifying the patient’s voice and enhancing their experiences across their health journey: the Patient\-Centered Solutions and Connected Technologies (PACT) team, and the Instrument Licensing Solutions and Patient and Site Strategy (ILS \& PASS) team. These teams work closely together to generate patient experience data (PED) through clinical outcome assessments (COAs; including digital health technologies), qualitative research, and patient preference research.
The ILS \& PASS team has a small group dedicated to thought leadership and COA instrument development. This “science team” is focused on (a) ensuring that sound scientific principles permeate through the research completed by the PACT and ILS \& PASS teams, and (b) leading the development, validation, and qualification of COA instruments to collect reliable and interpretable data from patients in medicines development and routine clinical care.
The ILS \& PASS science team comprises dedicated qualitative scientists and COA development scientists. Presently it does not have a team of dedicated statisticians and psychometricians. Owing to the large body of work – mostly internally funded – the team is recruiting for a Statistics and Psychometrics Lead, one entry\-level Statisticians/Psychometrician, and one Statistical Programmer to support the teams’ activities, as described below.
The Statistician/Psychometrician and Statistical Programmer roles will report to the Statistics and Psychometrics Lead. The Statistical Programmer role is described below.
Role \& Responsibilities
The Statistical Programmer will be expected to:
(1\) Empirically develop scoring rules \& program scoring algorithms for existing COA measures* For instruments being added to IQVIA ILS library, generate standard scoring documentation, and program simulation datasets, Data Quality Evaluation (DQE), and scoring of domains on these datasets
* Implement new statistical features in the random generation of data, to simulate real\-world instrument data with certain psychometric properties
* Implement new, more advanced statistical capabilities in user tools (Insights Hub, PROCore)
* Work cross\-functionally with non\-statisticians/psychometricians in the PACT and ILS \& PASS teams


(2\) Provide programming support for the development of new COA measures \& endpoints* Program classical and modern psychometric analyses and analyses of meaningful thresholds
* Program high frequency and continuous DHT data
* collaborate with data scientists to support algorithm validation, and verification of digital measure performance across diverse datasets and devices.


About You
Knowledge, skills and abilities* Candidates must have: (a) statistical and psychometric research skills; and (b) strong computer skills, including Base SAS with macro (R skills, API experience). Connecting to databases with SAS/R, and programming with validation/QC in a regulated environment would be an advantage.
* Candidates should demonstrate: (a) excellent written and oral communication skills including grammatical/technical writing skills; (b) critical attention and accuracy with details; and (c) strong individual initiative, organizing skills, and commitment to quality.
* Candidates must be able to: (a) work within a team environment, and to establish and maintain effective working relationships; (b) confidently communicate with, and effectively present information to, internal and external teams; and (c) work in a fast\-paced environment with demonstrated ability to effectively manage multiple tasks and projects.
* Candidates should have extensive familiarity and demonstrable experience with AI tools and their application to the topics mentioned above.


Education and experience* Candidates should have an advanced degree in statistics or psychometrics, experience in statistical programming, and an interest in patient\-centered research (including COA and/or DHT) and clinical research (pharmaceutical, or healthcare industry).
* Consulting experience with pharmaceutical companies is desirable.


Physical requirements* Candidates can expect to use telephone \[and face\-to\-face] communication extensively, requiring accurate perception of speech. Extensive use of a keyboard is also expected, requiring repetitive motion of fingers. Candidates will also need to sit for extended periods of time (daily), and travel as required (\<10%).

**This role is not eligible for UK visa sponsorship**
IQVIA is a leading global provider of clinical research services, commercial insights and healthcare intelligence to the life sciences and healthcare industries. We create intelligent connections to accelerate the development and commercialization of innovative medical treatments to help improve patient outcomes and population health worldwide. Learn more at https://jobs.iqvia.com
IQVIA is committed to integrity in our hiring process and maintains a zero tolerance policy for candidate fraud. All information and credentials submitted in your application must be truthful and complete. Any false statements, misrepresentations, or material omissions during the recruitment process will result in immediate disqualification of your application, or termination of employment if discovered later, in accordance with applicable law. We appreciate your honesty and professionalism.","","https://it.indeed.com/cmp/Iqvia","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/03e043400efdf1e7d2f66b4d0a67997e","http://jobs.iqvia.com","Durham, NC","10,000+","more than $10B (USD)","IQVIA (NYSE:IQV) is a leading global provider of advanced analytics, technology solutions and clinical research services to the life sciences industry dedicated to delivering actionable insights.","","","","","","","medical information"
"in-6bc9afe438f6bbc0","indeed","https://it.indeed.com/viewjob?jk=6bc9afe438f6bbc0","https://jobs.iqvia.com/en/jobs/R1527158-8","STATISTICIAN/PSYCHOMETRICIAN - Homebased (m/w/d)","IQVIA","Roma, LAZ, IT","2026-04-13","fulltime","","","","","",True,"","","","","Rome, Italy \| Full time \| Home\-based \| R1527158**Job available in additional locations**  

Overview
IQVIA provides scientific services spanning clinical trials, real world evidence, and consulting in all areas of the product lifecycle. IQVIA has two teams focused exclusively on amplifying the patient’s voice and enhancing their experiences across their health journey: the Patient\-Centered Solutions and Connected Technologies (PACT) team, and the Instrument Licensing Solutions and Patient and Site Strategy (ILS \& PASS) team. These teams work closely together to generate patient experience data (PED) through clinical outcome assessments (COAs; including digital health technologies), qualitative research, and patient preference research.
The ILS \& PASS team has a small group dedicated to thought leadership and COA instrument development. This “science team” is focused on (a) ensuring that sound scientific principles permeate through the research completed by the PACT and ILS \& PASS teams, and (b) leading the development, validation, and qualification of COA instruments to collect reliable and interpretable data from patients in medicines development and routine clinical care.
The ILS \& PASS science team comprises dedicated qualitative scientists and COA development scientists. Presently it does not have a team of dedicated statisticians and psychometricians. Owing to the large body of work – mostly internally funded – the team is recruiting for a Statistics and Psychometrics Lead, one entry\-level Statisticians/Psychometrician, and one Statistical Programmer to support the teams’ activities, as described below.
The Statistician/Psychometrician and Statistical Programmer roles will report to the Statistics and Psychometrics Lead. The Statistician/Psychometrician role is described below.
Role \& Responsibilities
The Statistician/Psychometrician will be expected to:
(1\) Empirically develop scoring rules \& program scoring algorithms for existing COA measures* For instruments being added to IQVIA ILS library, generate standard scoring documentation, and program simulation datasets, Data Quality Evaluation (DQE), and scoring of domains on these datasets
* Implement new statistical features in the random generation of data, to simulate real\-world instrument data with certain psychometric properties
* Implement new, more advanced statistical capabilities in user tools (Insights Hub, PROCore)
* Work cross\-functionally with non\-statisticians/psychometricians in the PACT and ILS \& PASS teams


(2\) Provide statistical support for the development of new COA measures \& endpoints* Program and conduct classical and modern psychometric analyses
* Program and conduct analyses of meaningful thresholds
* Develop, validate, and score DHT\-derived measures, and composite scores from multimodal data sources (COA \+ sensor\-derived data).
* Process and model high frequency and continuous DHT data, including time series modelling.
* Collaborate with data scientists to support algorithm validation, and verification of digital measure performance across diverse datasets and devices.


(3\) Provide statistical support for the COA Accelerator (COAA) tool* Support the COA Accelerator team as a subject matter expert for statistics, psychometrics and scoring of COAs
* Review COA Accelerator content in support of client subscriptions


(4\) Support thought leadership activities* Participate in scientific thought exchanges both to develop self and to share relevant experiences with others
* Publish research papers in medical/scientific journals and represent IQVIA at internal and external conferences


About You
Knowledge, skills and abilities* Candidates must have: (a) statistical and psychometric research skills; and (b) strong computer skills (including SAS and R).
* Candidates should demonstrate: (a) excellent written and oral communication skills including grammatical/technical writing skills; (b) critical attention and accuracy with details; and (c) strong individual initiative, organizing skills, and commitment to quality.
* Candidates must be able to: (a) work within a team environment, and to establish and maintain effective working relationships; (b) confidently communicate with, and effectively present information to, internal and external teams; and (c) work in a fast\-paced environment with demonstrated ability to effectively manage multiple tasks and projects.
* Candidates should have extensive familiarity and demonstrable experience with AI tools and their application to the topics mentioned above.


Education and experience* Candidates should have an advanced degree in statistics or psychometrics and an interest in patient\-centered research (including COA and/or DHT) and clinical research (pharmaceutical, or healthcare industry).
* Consulting experience with pharmaceutical companies is desirable.


Physical requirements* Candidates can expect to use telephone \[and face\-to\-face] communication extensively, requiring accurate perception of speech. Extensive use of a keyboard is also expected, requiring repetitive motion of fingers. Candidates will also need to sit for extended periods of time (daily), and travel as required (\<10%).

**This role is not eligible for UK visa sponsorship**
IQVIA is a leading global provider of clinical research services, commercial insights and healthcare intelligence to the life sciences and healthcare industries. We create intelligent connections to accelerate the development and commercialization of innovative medical treatments to help improve patient outcomes and population health worldwide. Learn more at https://jobs.iqvia.com
IQVIA is committed to integrity in our hiring process and maintains a zero tolerance policy for candidate fraud. All information and credentials submitted in your application must be truthful and complete. Any false statements, misrepresentations, or material omissions during the recruitment process will result in immediate disqualification of your application, or termination of employment if discovered later, in accordance with applicable law. We appreciate your honesty and professionalism.","","https://it.indeed.com/cmp/Iqvia","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/03e043400efdf1e7d2f66b4d0a67997e","http://jobs.iqvia.com","Durham, NC","10,000+","more than $10B (USD)","IQVIA (NYSE:IQV) is a leading global provider of advanced analytics, technology solutions and clinical research services to the life sciences industry dedicated to delivering actionable insights.","","","","","","","medical information"
"li-4389212589","linkedin","https://www.linkedin.com/jobs/view/4389212589","","Regulatory Affairs CMC Specialist","AYES - Management & Technology Consulting","Latium, Italy","2026-04-14","","","","","","",False,"","","","","","","https://it.linkedin.com/company/ayes---management-&-technology-consulting","","","","","","","","","","","","","pharmacovigilance"
